,Company Name,CIK
1941,NET 1 UEPS TECHNOLOGIES INC,1041514
1942,NETFLIX INC,1065280
1943,NETGEAR INC,1122904
1944,NETLOGIC MICROSYSTEMS INC,1135711
1945,NETSCOUT SYSTEMS INC,1078075
1946,NETWORK APPLIANCE INC,1002047
1947,NETWORK ENGINES INC,1110903
1948,NETWORK EQUIPMENT TECHNOLOGIES INC,752431
1949,NEUROCRINE BIOSCIENCES INC,914475
1950,NEVADA GOLD & CASINOS INC,277058
1951,NEVADA POWER CO,71180
1952,NEW CENTURY EQUITY HOLDINGS CORP,1013706
1953,NEW DRAGON ASIA CORP,1089590
1954,NEW FRONTIER MEDIA INC,847383
1955,NEW HAMPSHIRE THRIFT BANCSHARES INC,846931
1956,NEW JERSEY RESOURCES CORP,356309
1957,NEW PEOPLES BANKSHARES INC,1163389
1958,NEW ULM TELECOM INC,71557
1959,NEW WORLD RESTAURANT GROUP INC,949373
1960,NEW YORK COMMUNITY BANCORP INC,910073
1961,NEW YORK MORTGAGE TRUST INC,1273685
1962,NEW YORK TIMES CO,71691
1963,NEWCASTLE INVESTMENT CORP,1175483
1964,NEWELL RUBBERMAID INC,814453
1965,NEWFIELD EXPLORATION CO /DE/,912750
1966,NEWMARKET CORP,1282637
1967,NEWMONT MINING CORP /DE/,1164727
1968,NEWPARK RESOURCES INC,71829
1969,NEWPORT CORP,225263
1970,NEWS CORP,1308161
1971,NEWTEK BUSINESS SERVICES INC,1094019
1972,NEXMED INC,1017491
1973,NEXSTAR BROADCASTING GROUP INC,1142417
1974,NIC INC,1065332
1975,NICOR INC,72020
1976,NII HOLDINGS INC,1037016
1977,NISOURCE INC/DE,1111711
1978,NL INDUSTRIES INC,72162
1979,NN INC,918541
1980,NOBLE CORP,1169055
1981,NOBLE ENERGY INC,72207
1982,NOBLE ROMANS INC,709005
1983,NORCRAFT COMPANIES LP,1288248
1984,NORDSON CORP,72331
1985,NORFOLK SOUTHERN CORP,702165
1986,NORTECH SYSTEMS INC,722313
1987,NORTEK INC,1216596
1988,NORTEL NETWORKS CORP,72911
1989,NORTH CENTRAL BANCSHARES INC,1005188
1990,NORTH VALLEY BANCORP,353191
1991,NORTHEAST BANCORP /ME/,811831
1992,NORTHERN ILLINOIS GAS CO /IL/ /NEW/,110104
1993,NORTHERN STATES FINANCIAL CORP /DE/,744485
1994,NORTHERN STATES POWER CO,1123852
1995,NORTHERN STATES POWER CO /WI/,72909
1996,NORTHERN TRUST CORP,73124
1997,NORTHRIM BANCORP INC,1163370
1998,NORTHROP GRUMMAN CORP /DE/,1133421
1999,NORTHWEST INDIANA BANCORP,919864
2000,NORTHWEST NATURAL GAS CO,73020
2001,NORTHWESTERN CORP,73088
2002,NORWOOD FINANCIAL CORP,1013272
2003,NOVASTAR FINANCIAL INC,1025953
2004,NOVATEL WIRELESS INC,1022652
2005,NOVAVAX INC,1000694
2006,NOVELLUS SYSTEMS INC,836106
2007,NOVO NETWORKS INC,826773
2008,NPS PHARMACEUTICALS INC,890465
2009,"NRG ENERGY, INC.",1013871
2010,NTN COMMUNICATIONS INC,748592
2011,NU SKIN ENTERPRISES INC,1021561
2012,NUCOR CORP,73309
2013,NUMEREX CORP /PA/,870753
2014,NUTRACEUTICAL INTERNATIONAL CORP,1050007
2015,NUTRI SYSTEM INC /DE/,1096376
2016,NUTRITION 21 INC,744962
2017,NUVASIVE INC,1142596
2018,NUVELO INC,907654
2019,NVIDIA CORP,1045810
2020,NVR INC,906163
2021,NALCO HOLDING CO,1298341
2022,NATIONAL INTERSTATE CORP,1301106
2023,NEENAH PAPER INC,1296435
2024,"NEUROMETRIX, INC.",1289850
2025,NOVELIS INC.,1304280
2026,O CHARLEYS INC,864233
2027,O REILLY AUTOMOTIVE INC,898173
2028,OCCIDENTAL PETROLEUM CORP /DE/,797468
2029,OCEAN BIO CHEM INC,350737
2030,OCEANEERING INTERNATIONAL INC,73756
2031,OCEANFIRST FINANCIAL CORP,1004702
2032,OCTEL CORP,1054905
2033,OCWEN FINANCIAL CORP,873860
2034,OFFICE DEPOT INC,800240
2035,OFFICEMAX INC,12978
2036,OGE ENERGY CORP,1021635
2037,OGLETHORPE POWER CORP,788816
2038,OHIO EDISON CO,73960
2039,OHIO POWER CO,73986
2040,OHIO VALLEY BANC CORP,894671
2041,OIL DRI CORPORATION OF AMERICA,74046
2042,OIL STATES INTERNATIONAL INC,1121484
2043,OKLAHOMA GAS & ELECTRIC CO,74145
2044,OLD DOMINION ELECTRIC COOPERATIVE,885568
2045,OLD DOMINION FREIGHT LINE INC/VA,878927
2046,OLD NATIONAL BANCORP /IN/,707179
2047,OLD POINT FINANCIAL CORP,740971
2048,OLD REPUBLIC INTERNATIONAL CORP,74260
2049,OLD SECOND BANCORP INC,357173
2050,OLIN CORP,74303
2051,OLYMPIC STEEL INC,917470
2052,OM GROUP INC,899723
2053,OMEGA HEALTHCARE INVESTORS INC,888491
2054,OMEGA PROTEIN CORP,1053650
2055,OMNICARE INC,353230
2056,OMNICELL INC /CA/,926326
2057,OMNICOM GROUP INC,29989
2058,OMNIVISION TECHNOLOGIES INC,1106851
2059,OMNOVA SOLUTIONS INC,1090061
2060,ON ASSIGNMENT INC,890564
2061,ON SEMICONDUCTOR CORP,1097864
2062,ONE LIBERTY PROPERTIES INC,712770
2063,ONEOK INC /NEW/,1039684
2064,ONLINE RESOURCES CORP,888953
2065,ONVIA INC,1100917
2066,ONYX PHARMACEUTICALS INC,1012140
2067,OP TECH ENVIRONMENTAL SERVICES INC,858748
2068,OPEN TEXT CORP,1002638
2069,OPENWAVE SYSTEMS INC,1082506
2070,OPLINK COMMUNICATIONS INC,1022225
2071,OPNET TECHNOLOGIES INC,1108924
2072,OPPENHEIMER HOLDINGS INC,791963
2073,OPTI INC,899297
2074,ORASURE TECHNOLOGIES INC,1116463
2075,ORBIMAGE INC,1040570
2076,ORBIT FR INC,1037115
2077,ORBITAL SCIENCES CORP /DE/,820736
2078,ORCHID BIOSCIENCES INC,1107216
2079,ORIENT EXPRESS HOTELS LTD,1115836
2080,ORIENTAL FINANCIAL GROUP INC,1030469
2081,ORIGINAL SIXTEEN TO ONE MINE INC /CA/,74925
2082,"ORMAT TECHNOLOGIES, INC.",1296445
2083,ORRSTOWN FINANCIAL SERVICES INC,826154
2084,ORTHODONTIX INC,1006281
2085,ORTHOLOGIC CORP,887151
2086,OSHKOSH TRUCK CORP,775158
2087,OSI SYSTEMS INC,1039065
2088,OTELCO INC.,1288359
2089,OUTDOOR CHANNEL HOLDINGS INC,760326
2090,OVERHILL FARMS INC,1101020
2091,OVERLAND STORAGE INC,889930
2092,OVERSEAS SHIPHOLDING GROUP INC,75208
2093,OVERSTOCK COM INC,1130713
2094,OWENS & MINOR INC/VA/,75252
2095,OWENS ILLINOIS GROUP INC,812233
2096,OWENS ILLINOIS INC /DE/,812074
2097,OWENS MORTGAGE INVESTMENT FUND A CALIF LTD PARTNERSHIP,841501
2098,OXFORD INDUSTRIES INC,75288
2099,OXIGENE INC,908259
2100,OYO GEOSPACE CORP,1001115
2101,"OCCULOGIX, INC.",1299139
2102,ODIMO INC,1292026
2103,ORANGE 21 INC.,932372
2104,P COM INC,935493
2105,P&F INDUSTRIES INC,75340
2106,PACCAR FINANCIAL CORP,731288
2107,PACCAR INC,75362
2108,PACER INTERNATIONAL INC,1091735
2109,PACIFIC CAPITAL BANCORP /CA/,357264
2110,PACIFIC CONTINENTAL CORP,1084717
2111,PACIFIC FINANCIAL CORP,1093728
2112,PACIFIC MERCANTILE BANCORP,1109546
2113,PACIFIC PREMIER BANCORP INC,1028918
2114,PACIFICORP /OR/,75594
2115,PACKAGING CORP OF AMERICA,75677
2116,PAIN THERAPEUTICS INC,1069530
2117,PALATIN TECHNOLOGIES INC,911216
2118,PALL CORP,75829
2119,PALMETTO BANCSHARES INC,706874
2120,PALOMAR MEDICAL TECHNOLOGIES INC,881695
2121,PAM TRANSPORTATION SERVICES INC,798287
2122,PANERA BREAD CO,724606
2123,PANHANDLE EASTERN PIPE LINE CO LP,76063
2124,PANHANDLE ROYALTY CO,315131
2125,PANTRY INC,915862
2126,PAPA JOHNS INTERNATIONAL INC,901491
2127,PAPERWEIGHT DEVELOPMENT CORP,1166365
2128,"PAR PHARMACEUTICAL COMPANIES, INC.",878088
2129,PAR TECHNOLOGY CORP,708821
2130,PARAMETRIC TECHNOLOGY CORP,857005
2131,PAREXEL INTERNATIONAL CORP,799729
2132,PARK BANCORP INC,1013554
2133,PARK ELECTROCHEMICAL CORP,76267
2134,PARK NATIONAL CORP /OH/,805676
2135,PARK OHIO HOLDINGS CORP,76282
2136,PARK OHIO INDUSTRIES INC/OH,1068148
2137,PARKER DRILLING CO /DE/,76321
2138,PARKER HANNIFIN CORP,76334
2139,PARKERVISION INC,914139
2140,PARKVALE FINANCIAL CORP,820907
2141,PARKWAY PROPERTIES INC,729237
2142,PARLUX FRAGRANCES INC,802356
2143,PARTNERRE LTD,911421
2144,PATHFINDER BANCORP INC,1046188
2145,PATRICK INDUSTRIES INC,76605
2146,PATRIOT TRANSPORTATION HOLDING INC,844059
2147,"PATTERSON COMPANIES, INC.",891024
2148,PATTERSON UTI ENERGY INC,889900
2149,PAYCHEX INC,723531
2150,PC CONNECTION INC,1050377
2151,PC MALL INC,937941
2152,PC TEL INC,1057083
2153,PDF SOLUTIONS INC,1120914
2154,PDI INC,1054102
2155,PEABODY ENERGY CORP,1064728
2156,PEAPACK GLADSTONE FINANCIAL CORP,1050743
2157,PECO ENERGY CO,78100
2158,PEDIATRIX MEDICAL GROUP INC,893949
2159,PEETS COFFEE & TEA INC,917968
2160,PEGASYSTEMS INC,1013857
2161,PENFORD CORP,739608
2162,PENINSULA GAMING CORP.,1235662
2163,PENN NATIONAL GAMING INC,921738
2164,PENN VIRGINIA CORP,77159
2165,PENNICHUCK CORP,788885
2166,PENNS WOODS BANCORP INC,716605
2167,PENNSYLVANIA COMMERCE BANCORP INC,1085706
2168,PENNSYLVANIA ELECTRIC CO,77227
2169,PENSECO FINANCIAL SERVICES CORP,1054508
2170,PENTAIR INC,77360
2171,PEOPLES BANCORP INC,318300
2172,PEOPLES BANCORP OF NORTH CAROLINA INC,1093672
2173,PEOPLES BANCORPORATION INC /SC/,885542
2174,PEOPLES FINANCIAL CORP /MS/,770460
2175,PEOPLES FINANCIAL SERVICES CORP/,1056943
2176,PEOPLES HOLDING CO,715072
2177,PEPCO HOLDINGS INC,1135971
2178,PEPSICO INC,77476
2179,PERCEPTRON INC/MI,887226
2180,PEREGRINE PHARMACEUTICALS INC,704562
2181,PERFORMANCE TECHNOLOGIES INC \DE\,1003950
2182,PERICOM SEMICONDUCTOR CORP,1001426
2183,PERINI CORP,77543
2184,PERKINELMER INC,31791
2185,PERMA FIX ENVIRONMENTAL SERVICES INC,891532
2186,PERRIGO CO,820096
2187,PERVASIVE SOFTWARE INC,1042821
2188,PETMED EXPRESS INC,1040130
2189,PETROHAWK ENERGY CORP,1059324
2190,PETROLEUM DEVELOPMENT CORP,77877
2191,PETROLEUM HELICOPTERS INC,350403
2192,PETROQUEST ENERGY INC,872248
2193,PFIZER INC,78003
2194,PFSWEB INC,1095315
2195,PG&E CORP,1004980
2196,PHARMACEUTICAL PRODUCT DEVELOPMENT INC,1003124
2197,PHARMACYCLICS INC,949699
2198,PHARMOS CORP,713275
2199,PHASE III MEDICAL INC/DE,320017
2200,PHH CORP,77776
2201,PHOENIX COMPANIES INC/DE,1129633
2202,PHOTOMEDEX INC,711665
2203,PICO HOLDINGS INC /NEW,830122
2204,PIEDMONT NATURAL GAS CO INC,78460
2205,PIER 1 IMPORTS INC/DE,278130
2206,PILGRIMS PRIDE CORP,802481
2207,PINNACLE AIRLINES CORP,1166291
2208,PINNACLE ENTERTAINMENT INC,356213
2209,PINNACLE FINANCIAL PARTNERS INC,1115055
2210,PINNACLE WEST CAPITAL CORP,764622
2211,PIONEER DRILLING CO,320575
2212,PIONEER FINANCIAL SERVICES INC,1216752
2213,PIONEER NATURAL RESOURCES CO,1038357
2214,PIPER JAFFRAY COMPANIES,1230245
2215,PITNEY BOWES INC /DE/,78814
2216,PIXELWORKS INC,1040161
2217,PIZZA INN INC /MO/,718332
2218,PLAINS EXPLORATION & PRODUCTION CO,891456
2219,PLANAR SYSTEMS INC,722392
2220,PLANTRONICS INC /CA/,914025
2221,PLATINUM UNDERWRITERS HOLDINGS LTD,1171500
2222,PLC SYSTEMS INC,879682
2223,PLEXUS CORP,785786
2224,PLUG POWER INC,1093691
2225,PLUM CREEK TIMBER CO INC,849213
2226,PLUMAS BANCORP,1168455
2227,PLX TECHNOLOGY INC,850579
2228,PLY GEM HOLDINGS INC,1284807
2229,PMC COMMERCIAL TRUST /TX,908311
2230,PMC SIERRA INC,767920
2231,PNC FINANCIAL SERVICES GROUP INC,713676
2232,PNM RESOURCES INC,1108426
2233,POINT THERAPEUTICS INC,919745
2234,POLARIS INDUSTRIES INC/MN,931015
2235,POLO RALPH LAUREN CORP,1037038
2236,POLYCOM INC,1010552
2237,POLYONE CORP,1122976
2238,POORE BROTHERS INC,944508
2239,POPE RESOURCES LTD PARTNERSHIP,784011
2240,POPULAR INC,763901
2241,PORTFOLIO RECOVERY ASSOCIATES INC,1185348
2242,PORTLAND GENERAL ELECTRIC CO /OR/,784977
2243,POST PROPERTIES INC,903127
2244,POTASH CORP OF SASKATCHEWAN INC,855931
2245,POTOMAC BANCSHARES INC,925173
2246,POTOMAC ELECTRIC POWER CO,79732
2247,POWELL INDUSTRIES INC,80420
2248,POWER INTEGRATIONS INC,833640
2249,POWER ONE INC,1042825
2250,POWERWAVE TECHNOLOGIES INC,1023362
2251,POZEN INC /NC,1059790
2252,PPC INC,1045544
2253,PPG INDUSTRIES INC,79879
2254,PPL CORP,922224
2255,PPL ELECTRIC UTILITIES CORP,317187
2256,PRAXAIR INC,884905
2257,PRECISION CASTPARTS CORP,79958
2258,PREFORMED LINE PRODUCTS CO,80035
2259,PREMIER FINANCIAL BANCORP INC,887919
2260,"PREMIERE GLOBAL SERVICES, INC.",880804
2261,PREMIERWEST BANCORP,1102287
2262,PRESIDENTIAL LIFE CORP,80124
2263,PRESSTEK INC /DE/,846876
2264,PRG SCHULTZ INTERNATIONAL INC,1007330
2265,PRICE T ROWE GROUP INC,1113169
2266,PRICELINE COM INC,1075531
2267,PRICESMART INC,1041803
2268,PRIMEDEX HEALTH SYSTEMS INC,790526
2269,PRIMUS GUARANTY LTD,1170593
2270,PRIMUS TELECOMMUNICATIONS GROUP INC,1006837
2271,PRINCETON NATIONAL BANCORP INC,707855
2272,PRINCETON REVIEW INC,1113668
2273,PRINCIPAL FINANCIAL GROUP INC,1126328
2274,PRIVATE MEDIA GROUP INC,1068084
2275,PRIVATEBANCORP INC,889936
2276,PROASSURANCE CORP,1127703
2277,PROGENICS PHARMACEUTICALS INC,835887
2278,PROGRAMMERS PARADISE INC,945983
2279,PROGRESS ENERGY INC,1094093
2280,PROGRESS SOFTWARE CORP /MA,876167
2281,PROGRESSIVE CORP/OH/,80661
2282,PROSPECT ENERGY CORP,1287032
2283,PROSPERITY BANCSHARES INC,1068851
2284,PROTECTIVE LIFE CORP,355429
2285,PROTECTIVE LIFE INSURANCE CO,310826
2286,PROTEIN DESIGN LABS INC/DE,882104
2287,PROVIDENCE & WORCESTER RAILROAD CO/RI/,831968
2288,PROVIDENCE SERVICE CORP,1220754
2289,PROVIDENT BANCORP INC/NY/,1070154
2290,PROVIDENT FINANCIAL HOLDINGS INC,1010470
2291,PROVIDENT FINANCIAL SERVICES INC,1178970
2292,PRUCO LIFE INSURANCE CO,777917
2293,PRUCO LIFE INSURANCE OF NEW JERSEY,1038509
2294,PRUCO LIFE OF NEW JERSEY VARIABLE CONTRACT REAL PROPERTY ACC,829114
2295,PRUCO LIFE VARIABLE CONTRACT REAL PROPERTY ACCOUNT,801348
2296,PRUDENTIAL BANCORP INC OF PENNSYLVANIA,1302324
2297,PRUDENTIAL FINANCIAL INC,1137774
2298,PRUDENTIAL VARIABLE CONTRACT REAL PROPERTY ACCOUNT,846581
2299,PS BUSINESS PARKS INC/CA,866368
2300,PSB HOLDINGS INC /WI/,948368
2301,PSI ENERGY INC,81020
2302,PSS WORLD MEDICAL INC,920527
2303,PSYCHEMEDICS CORP,806517
2304,PUBLIC SERVICE CO OF COLORADO,81018
2305,PUBLIC SERVICE CO OF NEW HAMPSHIRE,315256
2306,PUBLIC SERVICE CO OF NEW MEXICO,81023
2307,PUBLIC SERVICE CO OF OKLAHOMA,81027
2308,PUBLIC SERVICE ELECTRIC & GAS CO,81033
2309,PUBLIC SERVICE ENTERPRISE GROUP INC,788784
2310,PUBLIX SUPER MARKETS INC,81061
2311,PUGET ENERGY INC /WA,1085392
2312,PUGET SOUND ENERGY INC,81100
2313,PULASKI FINANCIAL CORP,1062438
2314,PULTE HOMES INC/MI/,822416
2315,PVF CAPITAL CORP,928592
2316,"QC HOLDINGS, INC.",1289505
2317,QCR HOLDINGS INC,906465
2318,QLOGIC CORP,918386
2319,QLT INC/BC,827809
2320,QNB CORP,750558
2321,QUAKER CHEMICAL CORP,81362
2322,QUALCOMM INC/DE,804328
2323,QUALITY DISTRIBUTION INC,922863
2324,QUALITY SYSTEMS INC,708818
2325,QUALSTAR CORP,758938
2326,QUANTA SERVICES INC,1050915
2327,QUANTUM CORP /DE/,709283
2328,QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE INC,1166380
2329,QUEST DIAGNOSTICS INC,1022079
2330,QUEST SOFTWARE INC,1088033
2331,QUESTAR CORP,751652
2332,QUESTAR GAS CO,68589
2333,QUESTAR MARKET RESOURCES INC,1108827
2334,QUESTAR PIPELINE CO,764044
2335,QUESTCOR PHARMACEUTICALS INC,891288
2336,QUICKLOGIC CORPORATION,882508
2337,QUICKSILVER RESOURCES INC,1060990
2338,QUIDEL CORP /DE/,353569
2339,QUIGLEY CORP,868278
2340,QWEST COMMUNICATIONS INTERNATIONAL INC,1037949
2341,QWEST CORP,68622
2342,R & B INC,868780
2343,R H DONNELLEY CORP,30419
2344,RADIAN GROUP INC,890926
2345,RADIO ONE INC,1041657
2346,RADIOSHACK CORP,96289
2347,RADISYS CORP,873044
2348,RAILAMERICA INC /DE,887637
2349,RAINMAKER SYSTEMS INC,1094007
2350,RALCORP HOLDINGS INC /MO,1029506
2351,RAMBUS INC,917273
2352,RAMCO GERSHENSON PROPERTIES TRUST,842183
2353,RAMTRON INTERNATIONAL CORP,849502
2354,RANCON REALTY FUND IV,743870
2355,RANCON REALTY FUND V,769131
2356,RAND CAPITAL CORP,81955
2357,RANGE RESOURCES CORP,315852
2358,RAVEN INDUSTRIES INC,82166
2359,RAYMOND JAMES FINANCIAL INC,720005
2360,RAYONIER INC,52827
2361,RAYOVAC CORP,1028985
2362,RAYTHEON CO/,1047122
2363,RBS GLOBAL INC,1213336
2364,RCM TECHNOLOGIES INC,700841
2365,READING INTERNATIONAL INC,716634
2366,REALMARK PROPERTY INVESTORS LTD PARTNERSHIP II,704165
2367,REALMARK PROPERTY INVESTORS LTD PARTNERSHIP V,790067
2368,REALNETWORKS INC,1046327
2369,REALTY INCOME CORP,726728
2370,RED HAT INC,1087423
2371,REDDY ICE HOLDINGS INC,1268984
2372,REDHOOK ALE BREWERY INC,892222
2373,REDWOOD TRUST INC,930236
2374,REEVES TELECOM LTD PARTNERSHIP,314741
2375,REGAL BELOIT CORP,82811
2376,REGENCY CENTERS CORP,910606
2377,REGENERATION TECHNOLOGIES INC,1100441
2378,REGENERON PHARMACEUTICALS INC,872589
2379,REGIONS FINANCIAL CORP,1281761
2380,REGIS CORP,716643
2381,REINSURANCE GROUP OF AMERICA INC,898174
2382,RELIABILITY INC,34285
2383,RELIANCE STEEL & ALUMINUM CO,861884
2384,RELIANT ENERGY INC,1126294
2385,RELIV INTERNATIONAL INC,768710
2386,RELM WIRELESS CORP,2186
2387,RENAISSANCERE HOLDINGS LTD,913144
2388,RENT A CENTER INC DE,933036
2389,RENTECH INC /CO/,868725
2390,RENTRAK CORP,800458
2391,REPLIGEN CORP,730272
2392,REPUBLIC AIRWAYS HOLDINGS INC,1159154
2393,REPUBLIC BANCORP INC /KY/,921557
2394,REPUBLIC FIRST BANCORP INC,834285
2395,REPUBLIC SERVICES INC,1060391
2396,RES CARE INC /KY/,776325
2397,RESEARCH FRONTIERS INC,793524
2398,RESMED INC,943819
2399,RESOURCE AMERICA INC,83402
2400,RESOURCES CONNECTION INC,1084765
2401,REVLON CONSUMER PRODUCTS CORP,890547
2402,REVLON INC /DE/,887921
2403,REYNOLDS AMERICAN INC,1275283
2404,RF MICRO DEVICES INC,911160
2405,RF MONOLITHICS INC /DE/,922204
2406,RGC RESOURCES INC,1069533
2407,RICHARDSON ELECTRONICS LTD/DE,355948
2408,RIGEL PHARMACEUTICALS INC,1034842
2409,RIGHTNOW TECHNOLOGIES INC,1111247
2410,RIMAGE CORP,892482
2411,RIVERVIEW BANCORP INC,1041368
2412,RIVIERA HOLDINGS CORP,899647
2413,RLI CORP,84246
2414,RMS TITANIC INC,796764
2415,ROBBINS & MYERS INC,84290
2416,ROBERTS REALTY INVESTORS INC,1011109
2417,ROCHESTER MEDICAL CORPORATION,868368
2418,ROCK TENN CO,230498
2419,ROCKWELL COLLINS INC,1137411
2420,ROCKY MOUNTAIN CHOCOLATE FACTORY INC,785815
2421,ROCKY SHOES & BOOTS INC,895456
2422,ROFIN SINAR TECHNOLOGIES INC,1019361
2423,ROGERS CORP,84748
2424,ROLLINS INC,84839
2425,ROPER INDUSTRIES INC /DE/,882835
2426,ROTECH HEALTHCARE INC,1175108
2427,ROWAN COMPANIES INC,85408
2428,ROYAL BANCSHARES OF PENNSYLVANIA INC,922487
2429,ROYAL BODYCARE INC/NV,830052
2430,ROYAL CARIBBEAN CRUISES LTD,884887
2431,ROYAL GOLD INC,85535
2432,RPC INC,742278
2433,RPM INTERNATIONAL INC/DE/,110621
2434,RUBY TUESDAY INC,68270
2435,RUDDICK CORP,85704
2436,RUDOLPH TECHNOLOGIES INC,1094392
2437,RURBAN FINANCIAL CORP,767405
2438,RUSH ENTERPRISES INC \TX\,1012019
2439,RUSS BERRIE & CO INC,739878
2440,RYDER SYSTEM INC,85961
2441,RYERSON TULL INC /DE/,790528
2442,RYLAND GROUP INC,85974
2443,S Y BANCORP INC,835324
2444,S&T BANCORP INC,719220
2445,S1 CORP /DE/,1063254
2446,SABA SOFTWARE INC,1070380
2447,SADDLEBROOK RESORTS INC,313151
2448,SAFEGUARD SCIENTIFICS INC,86115
2449,SAFETY COMPONENTS INTERNATIONAL INC,918964
2450,SAFETY INSURANCE GROUP INC,1172052
2451,SAFEWAY INC,86144
2452,SAGA COMMUNICATIONS INC,886136
2453,SALEM COMMUNICATIONS CORP /DE/,1050606
2454,SALESFORCE COM INC,1108524
2455,SALISBURY BANCORP INC,1060219
2456,SALIX PHARMACEUTICALS LTD,1009356
2457,SALON MEDIA GROUP INC,1084332
2458,SAN DIEGO GAS & ELECTRIC CO,86521
2459,SANDERS MORRIS HARRIS GROUP INC,1071341
2460,SANDERSON FARMS INC,812128
2461,SANDISK CORP,1000180
2462,SANDY SPRING BANCORP INC,824410
2463,SANFILIPPO JOHN B & SON INC,880117
2464,SANGAMO BIOSCIENCES INC,1001233
2465,SANMINA-SCI CORP,897723
2466,SANTARUS INC,1172480
2467,SAPIENT CORP,1008817
2468,SATCON TECHNOLOGY CORP,889423
2469,SAUER DANFOSS INC,865754
2470,SAUL CENTERS INC,907254
2471,SAVANNAH BANCORP INC,860519
2472,SAVIENT PHARMACEUTICALS INC,722104
2473,SBA COMMUNICATIONS CORP,1034054
2474,SBC COMMUNICATIONS INC,732717
2475,SBE INC,87050
2476,SCANA CORP,754737
2477,SCANSOFT INC,1002517
2478,SCANSOURCE INC,918965
2479,SCBT FINANCIAL CORP,764038
2480,SCHAWK INC,719164
2481,SCHEIN HENRY INC,1000228
2482,SCHERING PLOUGH CORP,310158
2483,SCHICK TECHNOLOGIES INC,1014507
2484,SCHLUMBERGER LTD /NV/,87347
2485,SCHMITT INDUSTRIES INC,922612
2486,SCHNITZER STEEL INDUSTRIES INC,912603
2487,SCHOLASTIC CORP,866729
2488,SCHOOL SPECIALTY INC,1055454
2489,SCHULMAN A INC,87565
2490,SCHWAB CHARLES CORP,316709
2491,SCHWEITZER MAUDUIT INTERNATIONAL INC,1000623
2492,SCICLONE PHARMACEUTICALS INC,880771
2493,SCIENTIFIC GAMES CORP,750004
2494,SCIENTIFIC LEARNING CORP,1042173
2495,SCM MICROSYSTEMS INC,1036044
2496,SCOTTS COMPANY,825542
2497,SCOTTS LIQUID GOLD INC,88000
2498,SCP POOL CORP,945841
2499,SCRIPPS E W CO /DE,832428
2500,SCS TRANSPORTATION INC,1177702
2501,SEABOARD CORP /DE/,88121
2502,SEABRIGHT INSURANCE HOLDINGS INC,1267201
2503,SEACOAST BANKING CORP OF FLORIDA,730708
2504,SEACOR HOLDINGS INC /NEW/,859598
2505,SEALED AIR CORP/DE,1012100
2506,SEATTLE GENETICS INC /WA,1060736
2507,SECURITY CAPITAL CORP/MS,725537
2508,SECURITY FEDERAL CORPORATION,818677
2509,SEI INVESTMENTS CO,350894
2510,SEITEL INC,750813
2511,SELECT COMFORT CORP,827187
2512,SELECTICA INC,1090908
2513,SELECTIVE INSURANCE GROUP INC,230557
2514,SENECA FOODS CORP /NY/,88948
2515,SENOMYX INC,1123979
2516,SENSIENT TECHNOLOGIES CORP,310142
2517,SEQUENOM INC,1076481
2518,SERACARE LIFE SCIENCES INC,1156295
2519,SERVICE CORPORATION INTERNATIONAL,89089
2520,SERVICEMASTER CO,1052045
2521,SEVERN BANCORP INC,868271
2522,SHAW GROUP INC,914024
2523,SHENANDOAH TELECOMMUNICATIONS CO/VA/,354963
2524,SHERIDAN GROUP INC,1056035
2525,SHERWIN WILLIAMS CO,89800
2526,SHILOH INDUSTRIES INC,904979
2527,SHORE BANCSHARES INC,1035092
2528,SIEBERT FINANCIAL CORP,65596
2529,SIERRA BANCORP,1130144
2530,SIERRA PACIFIC POWER CO,90144
2531,SIFCO INDUSTRIES INC,90168
2532,SIGA TECHNOLOGIES INC,1010086
2533,SIGMA ALDRICH CORP,90185
2534,SIGMATRON INTERNATIONAL INC,915358
2535,SILGAN HOLDINGS INC,849869
2536,SILICON IMAGE INC,1003214
2537,SILICON LABORATORIES INC,1038074
2538,SILVER LEGACY CAPITAL CORP,1171078
2539,SIMMONS FIRST NATIONAL CORP,90498
2540,SIMON PROPERTY GROUP INC /DE/,1063761
2541,SIMPLETECH INC,1102741
2542,SIMPSON MANUFACTURING CO INC /CA/,920371
2543,SINCLAIR BROADCAST GROUP INC,912752
2544,SINGING MACHINE CO INC,923601
2545,SIRIUS SATELLITE RADIO INC,908937
2546,SIX FLAGS INC,701374
2547,SJW CORP,766829
2548,SKECHERS USA INC,1065837
2549,SKYLINE CORP,90896
2550,SKYWEST INC,793733
2551,SKYWORKS SOLUTIONS INC,4127
2552,SL GREEN REALTY CORP,1040971
2553,SL INDUSTRIES INC,89270
2554,SLM CORP,1032033
2555,SMITH & WESSON HOLDING CORP,1092796
2556,SMITH A O CORP,91142
2557,SMITH MICRO SOFTWARE INC,948708
2558,SMITHFIELD FOODS INC,91388
2559,SMUCKER J M CO,91419
2560,SNAP ON INC,91440
2561,SOCKET COMMUNICATIONS INC,944075
2562,SOHU COM INC,1104188
2563,SOLITARIO RESOURCES CORP,917225
2564,SOLUTIA INC,1043382
2565,SONESTA INTERNATIONAL HOTELS CORP,91741
2566,SONIC AUTOMOTIVE INC,1043509
2567,SONIC CORP,868611
2568,SONIC FOUNDRY INC,1029744
